textura: 7               (V: 0 L: 7)
dissipo: 7               (V: 0 L: 7)
fugito: 7                (V: 0 L: 7)
interutrasque: 7         (V: 0 L: 7)
minutatim: 7             (V: 0 L: 7)
perquam: 7               (V: 0 L: 7)
excidium1: 6             (V: 6 L: 0)
aeolusN: 6               (V: 6 L: 0)
luo: 6                   (V: 6 L: 0)
immineo: 6               (V: 6 L: 0)
cythereaN: 6             (V: 6 L: 0)
ternus: 6                (V: 6 L: 0)
hectoreusN: 6            (V: 6 L: 0)
conuexum: 6              (V: 6 L: 0)
deuenio: 6               (V: 4 L: 2)
redux: 6                 (V: 6 L: 0)
uulgo1: 6                (V: 4 L: 2)
iliadesN: 6              (V: 6 L: 0)
pertento: 6              (V: 3 L: 3)
speculor: 6              (V: 6 L: 0)
famula: 6                (V: 5 L: 1)
insono1: 6               (V: 6 L: 0)
pauito: 6                (V: 3 L: 3)
uirgineus: 6             (V: 5 L: 1)
exscindo: 6              (V: 6 L: 0)
horresco: 6              (V: 5 L: 1)
sanies: 6                (V: 5 L: 1)
neoptolemusN: 6          (V: 6 L: 0)
dardaniaN: 6             (V: 6 L: 0)
penetralis: 6            (V: 3 L: 3)
irruo: 6                 (V: 6 L: 0)
consero2: 6              (V: 6 L: 0)
armipotens: 6            (V: 5 L: 1)
regnator: 6              (V: 6 L: 0)
ultrix: 6                (V: 6 L: 0)
obtrunco: 6              (V: 6 L: 0)
tutor2: 6                (V: 3 L: 3)
passus1: 6               (V: 4 L: 2)
captiuus2: 6             (V: 6 L: 0)
tabum: 6                 (V: 5 L: 1)
diffido: 6               (V: 1 L: 5)
caerula: 6               (V: 2 L: 4)
misenusN: 6              (V: 6 L: 0)
hostilis: 6              (V: 6 L: 0)
transmitto: 6            (V: 4 L: 2)
oborior: 6               (V: 4 L: 2)
candor: 6                (V: 2 L: 4)
roro: 6                  (V: 4 L: 2)
iugalis: 6               (V: 6 L: 0)
pallens: 6               (V: 5 L: 1)
erebusN: 6               (V: 6 L: 0)
interrumpo: 6            (V: 2 L: 4)
confio: 6                (V: 1 L: 5)
famaN: 6                 (V: 6 L: 0)
mentum: 6                (V: 6 L: 0)
euanesco: 6              (V: 2 L: 4)
reseruo: 6               (V: 4 L: 2)
labefacio: 6             (V: 2 L: 4)
trudo: 6                 (V: 1 L: 5)
flatus: 6                (V: 4 L: 2)
silens: 6                (V: 6 L: 0)
concito1: 6              (V: 4 L: 2)
colluceo: 6              (V: 5 L: 1)
imploro: 6               (V: 6 L: 0)
irrumpo: 6               (V: 5 L: 1)
obitus: 6                (V: 2 L: 4)
chimaeraN: 6             (V: 4 L: 2)
menoetesN: 6             (V: 6 L: 0)
gramineus: 6             (V: 6 L: 0)
consessus: 6             (V: 4 L: 2)
effetus: 6               (V: 4 L: 2)
anchisiadesN: 6          (V: 6 L: 0)
terrificus: 6            (V: 3 L: 3)
accelero: 6              (V: 5 L: 1)
uiuidus: 6               (V: 4 L: 2)
uestigo: 6               (V: 6 L: 0)
pratum: 6                (V: 3 L: 3)
status1: 6               (V: 1 L: 5)
ausoniiN: 6              (V: 6 L: 0)
amataN: 6                (V: 6 L: 0)
solitus: 6               (V: 6 L: 0)
flammeus: 6              (V: 1 L: 5)
nanciscor: 6             (V: 3 L: 3)
nutus: 6                 (V: 3 L: 3)
retracto: 6              (V: 4 L: 2)
halaesusN: 6             (V: 6 L: 0)
ufensN: 6                (V: 6 L: 0)
efflo: 6                 (V: 2 L: 4)
arcasN: 6                (V: 6 L: 0)
saxeus: 6                (V: 2 L: 4)
laurentesN: 6            (V: 6 L: 0)
ignipotens: 6            (V: 6 L: 0)
profecto: 6              (V: 1 L: 5)
textum: 6                (V: 1 L: 5)
perennis: 6              (V: 1 L: 5)
deuinco: 6               (V: 3 L: 3)
perplexus: 6             (V: 1 L: 5)
languesco: 6             (V: 1 L: 5)
fragmen: 6               (V: 4 L: 2)
biiugi: 6                (V: 5 L: 1)
ascisco: 6               (V: 3 L: 3)
uiolentia: 6             (V: 4 L: 2)
lacuna: 6                (V: 0 L: 6)
repertum: 6              (V: 0 L: 6)
animalis: 6              (V: 0 L: 6)
flabrum: 6               (V: 0 L: 6)
saeptum: 6               (V: 0 L: 6)
raptim: 6                (V: 0 L: 6)
pausa: 6                 (V: 0 L: 6)
prosterno: 6             (V: 0 L: 6)
remoror1: 6              (V: 0 L: 6)
augesco: 6               (V: 0 L: 6)
proporro: 6              (V: 0 L: 6)
auctus1: 6               (V: 0 L: 6)
perturbo2: 6             (V: 0 L: 6)
sensifer: 6              (V: 0 L: 6)
contrudo: 6              (V: 0 L: 6)
perscindo: 6             (V: 0 L: 6)
morbidus: 6              (V: 0 L: 6)
submergo: 5              (V: 4 L: 1)
exploro: 5               (V: 5 L: 0)
oppeto: 5                (V: 5 L: 0)
defessus: 5              (V: 4 L: 1)
capysN: 5                (V: 5 L: 0)
amycusN: 5               (V: 5 L: 0)
nouem: 5                 (V: 4 L: 1)
habilis: 5               (V: 5 L: 0)
bello: 5                 (V: 5 L: 0)
uasto: 5                 (V: 4 L: 1)
rapto: 5                 (V: 3 L: 2)
mirandus: 5              (V: 1 L: 4)
orionN: 5                (V: 5 L: 0)
inuius: 5                (V: 5 L: 0)
improuisus: 5            (V: 5 L: 0)
socio: 5                 (V: 5 L: 0)
persoluo: 5              (V: 5 L: 0)
respecto: 5              (V: 2 L: 3)
agite: 5                 (V: 5 L: 0)
phoenissusN: 5           (V: 5 L: 0)
irrigo: 5                (V: 3 L: 2)
iampridem: 5             (V: 4 L: 1)
dependeo: 5              (V: 4 L: 1)
conticesco: 5            (V: 5 L: 0)
intentus2: 5             (V: 5 L: 0)
intexo: 5                (V: 5 L: 0)
reuincio: 5              (V: 4 L: 1)
fidens: 5                (V: 5 L: 0)
nex: 5                   (V: 5 L: 0)
calchasN: 5              (V: 5 L: 0)
fors2: 5                 (V: 5 L: 0)
effugium: 5              (V: 1 L: 4)
pineus: 5                (V: 4 L: 1)
uigiles: 5               (V: 4 L: 1)
exspectatus: 5           (V: 5 L: 0)
ingruo: 5                (V: 5 L: 0)
deiphobusN: 5            (V: 5 L: 0)
caerulus: 5              (V: 5 L: 0)
successus: 5             (V: 5 L: 0)
comans: 5                (V: 5 L: 0)
confligo: 5              (V: 1 L: 4)
spumeus: 5               (V: 5 L: 0)
ilicet: 5                (V: 5 L: 0)
armiger1: 5              (V: 5 L: 0)
plangor: 5               (V: 4 L: 1)
exardesco: 5             (V: 5 L: 0)
insideo: 5               (V: 4 L: 1)
dardanusA: 5             (V: 5 L: 0)
spissus: 5               (V: 3 L: 2)
grauo: 5                 (V: 4 L: 1)
teucrusA: 5              (V: 5 L: 0)
stipes: 5                (V: 5 L: 0)
agamemnoniusN: 5         (V: 5 L: 0)
pergameusN: 5            (V: 5 L: 0)
gnosiusN: 5              (V: 5 L: 0)
pauca: 5                 (V: 5 L: 0)
tripus1: 5               (V: 3 L: 2)
trinacriaN: 5            (V: 5 L: 0)
conus: 5                 (V: 1 L: 4)
obuerto: 5               (V: 3 L: 2)
conterreo: 5             (V: 4 L: 1)
tremesco: 5              (V: 4 L: 1)
syrtisN: 5               (V: 5 L: 0)
lyciaN: 5                (V: 5 L: 0)
progigno: 5              (V: 1 L: 4)
declino: 5               (V: 1 L: 4)
flamen2: 5               (V: 3 L: 2)
rigeo: 5                 (V: 4 L: 1)
diraN: 5                 (V: 5 L: 0)
pyra: 5                  (V: 5 L: 0)
irrideo: 5               (V: 4 L: 1)
aduena: 5                (V: 5 L: 0)
coeptum: 5               (V: 5 L: 0)
semianimis: 5            (V: 5 L: 0)
pristisN: 5              (V: 5 L: 0)
resulto: 5               (V: 3 L: 2)
gubernaculum: 5          (V: 3 L: 2)
puniceus: 5              (V: 3 L: 2)
euincio: 5               (V: 5 L: 0)
seminex: 5               (V: 5 L: 0)
dioresN: 5               (V: 5 L: 0)
misereo: 5               (V: 4 L: 1)
percello: 5              (V: 2 L: 3)
alacer: 5                (V: 5 L: 0)
hyrtacidesN: 5           (V: 5 L: 0)
pandarusN: 5             (V: 5 L: 0)
diuerbero2: 5            (V: 3 L: 2)
discurro: 5              (V: 5 L: 0)
auernusN: 5              (V: 3 L: 2)
creatrix: 5              (V: 2 L: 3)
glaucus2: 5              (V: 4 L: 1)
pristinus: 5             (V: 3 L: 2)
rescindo: 5              (V: 3 L: 2)
dispicio: 5              (V: 1 L: 4)
superum: 5               (V: 1 L: 4)
saetiger2: 5             (V: 3 L: 2)
fumidus: 5               (V: 3 L: 2)
indecor: 5               (V: 5 L: 0)
ardeaN: 5                (V: 5 L: 0)
specus: 5                (V: 5 L: 0)
obtestor: 5              (V: 5 L: 0)
uenatus: 5               (V: 5 L: 0)
exterritus: 5            (V: 4 L: 1)
adicio: 5                (V: 4 L: 1)
prae2: 5                 (V: 2 L: 3)
asilasN: 5               (V: 5 L: 0)
aduolo2: 5               (V: 4 L: 1)
mage: 5                  (V: 1 L: 4)
prouoluo: 5              (V: 2 L: 3)
daunusN: 5               (V: 5 L: 0)
assimulo: 5              (V: 2 L: 3)
musso: 5                 (V: 4 L: 1)
abundans2: 5             (V: 1 L: 4)
glisco: 5                (V: 1 L: 4)
refuto: 5                (V: 1 L: 4)
haudquaquam: 5           (V: 1 L: 4)
delibo: 5                (V: 1 L: 4)
metiscusN: 5             (V: 5 L: 0)
pollens: 5               (V: 0 L: 5)
cum1: 5                  (V: 0 L: 5)
perspicio: 5             (V: 0 L: 5)
squamiger: 5             (V: 0 L: 5)
tuor: 5                  (V: 0 L: 5)
impendeo: 5              (V: 0 L: 5)
quoquam: 5               (V: 0 L: 5)
euentum: 5               (V: 0 L: 5)
rigor: 5                 (V: 0 L: 5)
disturbo2: 5             (V: 0 L: 5)
connexus1: 5             (V: 0 L: 5)
attribuo: 5              (V: 0 L: 5)
uirus: 5                 (V: 0 L: 5)
alienigenus: 5           (V: 0 L: 5)
dispertio: 5             (V: 0 L: 5)
musaeus: 5               (V: 0 L: 5)
conueniens: 5            (V: 0 L: 5)
cupedo: 5                (V: 0 L: 5)
notitia: 5               (V: 0 L: 5)
aurora: 5                (V: 0 L: 5)
momen: 5                 (V: 0 L: 5)
offensus1: 5             (V: 0 L: 5)
punctus2: 5              (V: 0 L: 5)
hamatus: 5               (V: 0 L: 5)
adipiscor: 5             (V: 0 L: 5)
quadratus2: 5            (V: 0 L: 5)
repletus: 5              (V: 0 L: 5)
itidem: 5                (V: 0 L: 5)
uehementer: 5            (V: 0 L: 5)
procudo: 5               (V: 0 L: 5)
defetiscor: 5            (V: 0 L: 5)
nominito: 5              (V: 0 L: 5)
obtundo: 5               (V: 0 L: 5)
conuinco: 5              (V: 0 L: 5)
uniter: 5                (V: 0 L: 5)
reuerto: 5               (V: 0 L: 5)
scato: 5                 (V: 0 L: 5)
flammo: 4                (V: 2 L: 2)
stabilis: 4              (V: 2 L: 2)
occumbo: 4               (V: 4 L: 0)
sarpedonN: 4             (V: 4 L: 0)
gaza: 4                  (V: 3 L: 1)
abasN: 4                 (V: 4 L: 0)
